,Codi Municipi,Codi Província,CUP_pct,CSQP_pct,Cs_pct,JxSi_pct,PP_pct,PSC_pct,Unio_pct,Unionisme_pct,Independ_pct,Cat,Spa,Abroad,Tot,pct_cat,pct_foreign,pct_spa,RFDB,RFDB_hab,RFDB_idx,ST,1erGrau,2nGrau,Univ,Tot_Niv_Ed,pct_Univ,pct_1erGrau,understands,speaks,reads,writes,no_underst,Tot_cat,pct_cat_speakers
"Torre de Cabdella, la",25227,25,13.54,2.41,1.67,69.39,2.04,7.24,2.97,10.95,82.93,672.0,31.0,45.0,748.0,89.83957219251337,6.016042780748663,4.144385026737968,,,,,,,,,,,739.0,712.0,685.0,562.0,,751.0,94.8069241011984
"Torre de Claramunt, la",8286,8,6.7,8.13,21.61,34.82,7.59,15.67,2.99,44.870000000000005,41.52,2771.0,776.0,175.0,3722.0,74.44922084900591,4.701773240193444,20.849005910800646,,,,,476.0,1976.0,,3046.0,,15.627051871306632,3623.0,2740.0,3042.0,2134.0,,3706.0,73.93416082029142
"Torre de Fontaubella, la",43151,43,20.62,3.09,5.15,63.92,1.03,3.09,2.06,9.27,84.54,117.0,7.0,10.0,134.0,87.31343283582089,7.462686567164179,5.223880597014926,,,,,,,,,,,131.0,123.0,121.0,104.0,0.0,131.0,93.89312977099236
"Torre de l'Espanyol, la",43152,43,5.68,3.88,2.07,68.73,3.88,8.27,6.98,14.219999999999999,74.41,482.0,25.0,128.0,635.0,75.90551181102362,20.15748031496063,3.937007874015748,,,,,,,,,,,650.0,507.0,534.0,370.0,,676.0,75.0
Torre-serona,25233,25,4.93,4.48,8.97,56.5,8.52,11.21,3.59,28.7,61.43,294.0,31.0,54.0,379.0,77.57255936675462,14.248021108179419,8.179419525065963,,,,,,,,,,,352.0,304.0,314.0,215.0,0.0,352.0,86.36363636363636
Torrebesses,25226,25,10.36,2.07,2.07,72.54,4.66,3.63,4.15,10.36,82.9,272.0,12.0,9.0,293.0,92.83276450511946,3.0716723549488054,4.09556313993174,,,,,,,,,,,294.0,286.0,288.0,217.0,,295.0,96.94915254237289
Torredembarra,43153,43,7.11,6.87,23.64,38.29,8.58,11.87,2.22,44.089999999999996,45.4,9495.0,3076.0,2889.0,15460.0,61.41655886157827,18.6869340232859,19.896507115135833,205753.0,13.4,81.4,1231.0,2132.0,7236.0,2147.0,12747.0,16.84317878716561,16.725504040166314,14313.0,11188.0,11786.0,7977.0,574.0,14887.0,75.15281789480755
Torrefarrera,25228,25,6.28,4.37,14.77,56.57,4.87,7.61,3.91,27.25,62.85,3566.0,465.0,599.0,4630.0,77.0194384449244,12.937365010799136,10.043196544276459,,,,,362.0,2034.0,,3320.0,,10.903614457831326,4044.0,3674.0,3503.0,2857.0,,4141.0,88.72253078966433
Torrefeta i Florejacs,25907,25,13.61,2.72,2.97,66.58,6.44,2.72,3.96,12.13,80.19,527.0,32.0,31.0,590.0,89.32203389830508,5.254237288135593,5.423728813559322,,,,,,,,,,,594.0,573.0,564.0,409.0,,614.0,93.32247557003258
Torregrossa,25230,25,4.85,2.3,8.1,61.8,7.86,8.9,5.24,24.86,66.64999999999999,1754.0,71.0,341.0,2166.0,80.97876269621422,15.743305632502308,3.2779316712834716,,,,,294.0,1247.0,,1958.0,,15.01532175689479,2192.0,2010.0,1989.0,1477.0,,2219.0,90.58134294727354
